step,avg_train_loss,val_loss
0,7.983158673333333,8.753497
50,7.708803205,8.30422225
100,7.492341584,7.955382
150,6.9253643920000005,7.1396534
200,6.622028088,6.6448674
250,6.438725132,6.3548616
300,6.296840264,6.1629502
350,6.102929064,5.963801
400,5.917306012,5.7241282
450,5.750982644,5.5609212
500,5.617976179999999,5.4877454
550,5.413507184,5.3444894
600,5.301568964,5.2505946
650,5.204922336000001,5.190811999999999
700,5.10622226,5.1728955999999995
750,4.9296747000000005,5.0256482
800,4.859680316,4.871826400000001
850,4.792468564,4.7731356
900,4.74405224,4.6617826
950,4.71691182,4.523567399999999
1000,4.5866963599999995,4.4543544
1050,4.40132178,4.4342276
1100,4.320300236,4.3447664
1150,4.2464326,4.2822764
1200,4.1912811,4.2063356
1250,4.302018964,4.1310772
1300,4.446679876,4.0776184
1350,4.44166808,4.058449399999999
1400,4.4259526440000005,4.006482
1450,4.476992699999999,3.9796568
1500,4.423386164,3.9406052000000003
1550,4.337889892000001,3.8625648
1600,4.294494276,3.7893652
1650,4.19937586,3.7607411999999996
1700,4.0301258,3.7287267999999996
1750,3.9803568759999997,3.7070382000000004
1800,3.905773676,3.6913112
1850,3.837400024,3.6935154
1900,3.816305612,3.6852356
1950,3.811152852,3.6640496
2000,3.8023994119999998,3.6454274
2050,3.8130264439999997,3.626509
2100,3.7903898479999993,3.5949807999999996
2150,3.6653177480000005,3.58784
2200,3.4999615079999997,3.5834403999999997
2250,3.41537672,3.5728318000000003
2300,3.4293802119999994,3.5592742
2350,3.443766892,3.5571965999999997
2400,3.640509592,3.5341235999999996
2450,3.8157140099999998,3.5242879999999994
2500,3.8961745666666663,3.511568666666666
